ds,y
2019/1/9,275.9
2019/1/10,276.9
2019/1/11,276.4
2019/1/12,272
2019/1/13,280.1
2019/1/14,277.4
2019/1/15,275.3
2019/1/16,271.9
2019/1/17,273.8
2019/1/18,272.4
2019/1/19,270
2019/1/20,273.5
2019/1/21,273.6
2019/1/22,271.7
2019/1/23,271.1
2019/1/24,268.6
2019/1/25,267.1
2019/1/26,264
2019/1/27,263.4
2019/1/28,264.7
2019/1/29,258.6
2019/1/30,254.2
2019/1/31,250.2
2019/2/1,244.9
2019/2/2,235.5
2019/2/3,232.1
2019/2/4,213.1
2019/2/5,189.1
2019/2/6,190.8
2019/2/7,194.1
2019/2/8,199.4
2019/2/9,207.6
2019/2/10,223.4
2019/2/11,237.6
2019/2/12,235.1
2019/2/13,243.8
2019/2/14,240.6
2019/2/15,247.5
2019/2/16,247.4
2019/2/17,255.8
2019/2/18,256.4
2019/2/19,254.1
2019/2/20,260.4
2019/2/21,263
2019/2/22,262.3
2019/2/23,263.9
2019/2/24,272.5
2019/2/25,273.1
2019/2/26,269.9
2019/2/27,273.7
2019/2/28,276.9
2019/3/1,278.9
2019/3/2,278.6
2019/3/3,286.1
2019/3/4,289.9
2019/3/5,290.2
2019/3/6,289.2
2019/3/7,290.5
2019/3/8,289.5
2019/3/9,283.8
2019/3/10,289.8
2019/3/11,293.3
2019/3/12,291.8
2019/3/13,293.4
2019/3/14,293.6
2019/3/15,293
2019/3/16,288
2019/3/17,292.9
2019/3/18,295.1
2019/3/19,293
2019/3/20,286
2019/3/21,282.4
2019/3/22,287.3
2019/3/23,283.1
2019/3/24,293.1
2019/3/25,297.9
2019/3/26,295.1
2019/3/27,293.8
2019/3/28,287.1
2019/3/29,287.6
2019/3/30,280.7
2019/3/31,291.6
2019/4/1,297
2019/4/2,295.1
2019/4/3,293.8
2019/4/4,292.3
2019/4/5,272.3
2019/4/6,271
2019/4/7,289.7
2019/4/8,296.1
2019/4/9,269.7
2019/4/10,284.6
2019/4/11,287.1
2019/4/12,290.2
2019/4/13,284.9
2019/4/14,300.7
2019/4/15,306.8
2019/4/16,306.6
2019/4/17,308.5
2019/4/18,303.4
2019/4/19,295.3
2019/4/20,271.5
2019/4/21,291.6
2019/4/22,299.2
2019/4/23,298.9
2019/4/24,275
2019/4/25,278.9
2019/4/26,277.4
2019/4/27,270
2019/4/28,274.8
2019/4/29,277.3
2019/4/30,281.9
2019/5/1,267.7
2019/5/2,265.8
2019/5/3,271.1
2019/5/4,295.4
2019/5/5,298.7
2019/5/6,305.5
2019/5/7,310.9
2019/5/8,306.9
2019/5/9,311
2019/5/10,308
2019/5/11,303.8
2019/5/12,286.3
2019/5/13,303.6
2019/5/14,308.9
2019/5/15,313.2
2019/5/16,319.9
2019/5/17,315.5
2019/5/18,284
2019/5/19,285.2
2019/5/20,293.6
2019/5/21,307.8
2019/5/22,319.7
2019/5/23,330.3
2019/5/24,327.7
2019/5/25,321.5
2019/5/26,288.6
2019/5/27,303.4
2019/5/28,311.6
2019/5/29,322.9
2019/5/30,320.8
2019/5/31,323.8
2019/6/1,310.2
2019/6/2,311.8
2019/6/3,319.5
2019/6/4,309.1
2019/6/5,316.2
2019/6/6,293.2
2019/6/7,283.9
2019/6/8,286.3
2019/6/9,311.4
2019/6/10,331.1
2019/6/11,333.1
2019/6/12,330.4
2019/6/13,326
2019/6/14,338.4
2019/6/15,324.9
2019/6/16,292.4
2019/6/17,315.9
2019/6/18,329.6
2019/6/19,338.5
2019/6/20,342.6
2019/6/21,331.8
2019/6/22,331.6
2019/6/23,340.6
2019/6/24,353.2
2019/6/25,354.8
2019/6/26,352
2019/6/27,351.6
2019/6/28,342.3
2019/6/29,337.9
2019/6/30,342.2
2019/7/1,360.6
2019/7/2,352.5
2019/7/3,357.6
2019/7/4,362.9
2019/7/5,322.5
2019/7/6,299.1
2019/7/7,307.4
2019/7/8,320.5
2019/7/9,313.3
2019/7/10,311.1
2019/7/11,320.2
2019/7/12,328.2
2019/7/13,320.8
2019/7/14,324.4
2019/7/15,341.6
2019/7/16,336.9
2019/7/17,311.8
2019/7/18,319.1
2019/7/19,315.2
2019/7/20,304.8
2019/7/21,329
2019/7/22,330.4
2019/7/23,322.2
2019/7/24,327.4
2019/7/25,326.9
2019/7/26,329.5
2019/7/27,323.2
2019/7/28,325.5
2019/7/29,302.5
2019/7/30,315.2
2019/7/31,317.5
2019/8/1,320.6
2019/8/2,306.3
2019/8/3,302.3
2019/8/4,301.5
2019/8/5,307.8
2019/8/6,314.6
2019/8/7,308.7
2019/8/8,316.7
2019/8/9,309.1
